"sample_Forward reads"	"raw.all_Forward reads"	"raw.Uniq_Forward reads"	"afterTrim.all_Forward reads"	"afterTrim.Uniq_Forward reads"	"afterDenoise.all_Forward reads"	"afterDenoise.Uniq_Forward reads"	"afterMerge.all_Forward reads"	"afterMerge.Uniq_Forward reads"	"afterBimera.all_Forward reads"	"afterBimera.Uniq_Forward reads"
"4-D3AM"	58681	12754	51174	9582	50914	908	43514	608	36655	94
"4-D28AM"	58682	14486	55391	12103	54862	1159	50993	956	43646	123
"3-D52PM"	58846	11679	54632	9000	54427	812	49539	670	42281	100
"7-D24"	58853	9208	53132	7063	52921	835	49836	609	44944	101
"8-D28PM"	59045	12703	55447	10556	55082	960	51503	768	44652	127
"6-D23AM"	59106	10949	56234	9268	55972	1037	53290	860	46820	128
"2-D28PM"	59178	16083	55251	13171	54583	1150	50219	917	42073	129
"4-D22AM"	59282	13925	55360	11497	54737	1363	50396	1038	43843	159
"7-D60AM"	59491	12640	56057	10028	55759	979	49295	786	39655	93
"4-D43AM"	59560	13316	54803	10198	54597	1054	49811	854	40735	54
"1-D29PM"	59721	16830	55081	13625	54630	1364	48693	1111	38924	120
"4-D35AM"	59747	14993	55933	12364	55649	1402	50964	1177	40140	120
"6-D24"	59759	9276	54961	7301	54769	823	51740	611	45474	96
"8-D60PM"	59784	9307	57518	7532	57361	845	54333	733	45038	86
"3-D58AM"	59960	14484	55606	10864	55299	969	50512	837	39760	95
"6-D58AM"	60154	11067	56840	8443	56645	726	51903	590	42031	60
"3-D30PM"	60158	13314	55566	10341	55422	1130	51167	931	43607	108
"9-D59AM"	60171	10566	57669	8633	57375	886	53399	726	41985	81
"5-D51PM"	60275	11719	56424	9604	56227	1127	52180	940	40622	80
"3-D23PM"	60301	15479	56541	12624	55775	1058	51843	829	45393	139
"7-D0PM"	60463	7883	56051	5826	55871	293	39626	217	34625	61
"9-D58AM"	60547	12292	57191	9602	56900	806	50934	665	40923	92
"4-D60AM"	60647	12637	56665	9599	56391	929	51252	750	41851	96
"6-D57PM"	60714	12102	56919	9124	56681	811	50958	676	43677	94
"8-D23PM"	61010	10285	56371	8290	56033	957	52755	724	47588	113
"9-D57AM"	61131	10824	57630	7990	57457	705	53599	572	45440	85
"4-D10"	61267	16807	56451	13547	55995	1337	51059	1102	39912	114
"4-D63"	61481	13016	58546	10686	58137	1100	53237	931	39654	92
"2-D60AM"	61567	16011	57373	12549	56994	1272	51038	1095	36773	93
"4-D54"	61701	13702	57751	11211	57357	942	51617	785	40571	90
"1-D1PM"	61771	12827	54258	9701	54125	468	46268	370	40246	51
"7-D59AM"	61785	11240	59250	9254	58911	988	53871	825	44480	91
"6-D28PM"	61860	14907	57972	12364	57518	1018	52988	792	45628	116
"10-D29AM"	61868	12167	58286	10039	58072	950	54734	806	44266	115
"1-D29AM"	62205	15517	58141	12704	57747	1329	52869	1107	42901	114
"6-D23PM"	62319	12484	58913	10524	58524	1010	54957	807	47339	120
"5-D59AM"	62409	10891	58867	8771	58594	969	51988	799	41458	86
"5-D22AM"	62833	13771	59296	11179	58797	1352	55165	1121	47734	150
"3-D58PM"	62853	14664	58758	11378	58456	1040	52297	878	40674	98
"3-D52AM"	62859	12027	58051	9490	57892	860	51875	703	43904	95
"5-D58PM"	62924	14781	58483	11134	58126	1020	52603	864	39276	81
"3-D54"	63006	17819	54613	11672	54253	820	48827	670	40505	103
"5-D9"	63119	16737	58064	13591	57698	1377	52101	1117	40342	102
"5-D54"	63163	14425	56562	11126	56350	881	50466	747	41917	70
"4-D22PM"	63272	14149	58987	11359	58531	1209	54716	959	49223	170
"7-D57AM"	63298	10552	60033	8191	59771	891	54556	747	47737	98
"2-D28AM"	63341	14050	59444	11664	58756	1141	54935	897	47429	128
"2-D58PM"	63415	15096	58840	11444	58530	1143	50584	915	39175	105
"4-D25"	63419	13812	59599	11404	58973	1181	55430	963	47790	132
"9-D63"	63592	12347	60655	9858	60375	954	56316	818	43684	90
